Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sales,Sub-Category,Quantity,Discount,Profit
Second Class,Home Office,United States,New York City,New York,10009,East,Furniture,96.53,Furnishings,7,0,40.5426
First Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,51.312,Binders,3,0.2,17.9592
Standard Class,Corporate,United States,Saint Paul,Minnesota,55106,Central,Office Supplies,77.88,Appliances,6,0,22.5852
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,64.624,Paper,7,0.2,22.6184
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Technology,95.976,Accessories,3,0.2,-10.7973
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,1.788,Binders,3,0.8,-3.0396
Second Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,23.92,Paper,4,0,11.7208
Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Technology,238.896,Accessories,6,0.2,-26.8758
Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Furniture,102.36,Furnishings,3,0.2,-3.8385
Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Office Supplies,36.882,Binders,3,0.7,-25.8174
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,74.112,Accessories,8,0.2,17.6016
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,27.992,Phones,1,0.2,2.0994
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Office Supplies,3.304,Art,1,0.2,1.0738
Standard Class,Home Office,United States,Orland Park,Illinois,60462,Central,Technology,339.96,Accessories,5,0.2,67.992
Standard Class,Corporate,United States,New York City,New York,10035,East,Furniture,41.96,Furnishings,2,0,10.9096
Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,75.96,Art,2,0,22.788
Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,27.24,Binders,6,0,13.3476
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,40.096,Fasteners,14,0.2,14.5348
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,4.72,Envelopes,2,0.2,1.652
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,23.976,Paper,3,0.2,7.4925
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,130.464,Envelopes,6,0.2,44.0316
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Furniture,787.53,Tables,3,0,165.3813
Standard Class,Corporate,United States,Bristol,Tennessee,37620,South,Office Supplies,157.794,Binders,1,0.7,-115.7156
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Furniture,47.04,Furnishings,3,0,18.3456
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,30.84,Binders,4,0,13.878
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,226.56,Storage,6,0,63.4368
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,115.02,Envelopes,9,0,51.759
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Technology,68.04,Phones,7,0,19.7316
Second Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,600.558,Chairs,3,0.3,-8.5794
Standard Class,Consumer,United States,Bloomington,Illinois,61701,Central,Furniture,617.7,Tables,6,0.5,-407.682
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,2.388,Binders,2,0.7,-1.8308
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,243.992,Storage,7,0.2,30.499
Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,81.424,Chairs,2,0.2,-9.1602
Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,238.56,Furnishings,3,0,26.2416
First Class,Corporate,United States,Columbus,Ohio,43229,East,Technology,59.97,Phones,5,0.4,-11.994
First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,78.304,Paper,2,0.2,29.364
First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,21.456,Fasteners,9,0.2,6.9732
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,20.04,Paper,3,0,9.6192
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,35.44,Paper,1,0,16.6568
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,11.52,Art,4,0,3.456
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,4.02,Fasteners,2,0,1.9698
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,76.176,Binders,3,0.2,26.6616
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,65.88,Supplies,6,0,18.4464
Standard Class,Consumer,United States,Roseville,California,95661,West,Furniture,43.12,Furnishings,14,0,20.6976
Second Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Furniture,82.8,Furnishings,2,0.2,10.35
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,8.82,Art,3,0,2.3814
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,10.86,Envelopes,3,0,5.1042
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,143.7,Paper,3,0,68.976
Standard Class,Consumer,United States,Independence,Missouri,64055,Central,Office Supplies,839.43,Appliances,3,0,218.2518
Standard Class,Consumer,United States,Pasadena,California,91104,West,Office Supplies,671.93,Storage,7,0,20.1579
Standard Class,Home Office,United States,Newark,Ohio,43055,East,Furniture,93.888,Furnishings,4,0.2,12.9096
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,384.45,Phones,11,0,103.8015
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,149.97,Phones,3,0,5.9988
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Furniture,1951.84,Chairs,8,0,585.552
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Office Supplies,171.55,Binders,5,0,80.6285
First Class,Home Office,United States,Scottsdale,Arizona,85254,West,Office Supplies,157.92,Appliances,5,0.2,17.766
First Class,Home Office,United States,Scottsdale,Arizona,85254,West,Technology,203.184,Phones,2,0.2,15.2388
First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,58.38,Paper,7,0,26.271
First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,105.52,Paper,4,0,48.5392
First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,80.88,Storage,6,0,21.0288
Standard Class,Home Office,United States,Seattle,Washington,98105,West,Office Supplies,6.63,Art,3,0,1.7901
Second Class,Consumer,United States,Seattle,Washington,98115,West,Furniture,457.568,Chairs,2,0.2,51.4764
Standard Class,Consumer,United States,Edmond,Oklahoma,73034,Central,Office Supplies,14.62,Labels,2,0,6.8714
Standard Class,Consumer,United States,Edmond,Oklahoma,73034,Central,Technology,944.93,Phones,7,0,236.2325
First Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,5.98,Paper,1,0,2.691
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Technology,54.384,Accessories,2,0.2,1.3596
Standard Class,Consumer,United States,Carlsbad,New Mexico,88220,West,Office Supplies,28.4,Envelopes,5,0,13.348
Standard Class,Consumer,United States,Seattle,Washington,98115,West,Office Supplies,27.68,Binders,2,0.2,9.688
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,9.936,Art,3,0.2,2.7324
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Technology,8159.952,Machines,8,0.4,-1359.992
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,275.928,Storage,3,0.2,-58.6347
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Furniture,1740.06,Chairs,9,0.3,-24.858
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,32.064,Art,6,0.2,6.8136
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,177.98,Appliances,5,0.8,-453.849
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Technology,143.976,Phones,3,0.2,8.9985
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,20.94,Paper,3,0,9.8418
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,110.96,Paper,2,0,53.2608
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,340.144,Chairs,7,0.2,21.259
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,52.448,Appliances,2,0.8,-131.12
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,20.16,Labels,4,0.2,6.552
Second Class,Consumer,United States,Houston,Texas,77036,Central,Office Supplies,97.264,Appliances,4,0.8,-243.16
Second Class,Consumer,United States,Newark,Ohio,43055,East,Furniture,396.802,Chairs,7,0.3,-11.3372
Second Class,Consumer,United States,Newark,Ohio,43055,East,Office Supplies,15.88,Supplies,5,0.2,-3.7715
Standard Class,Home Office,United States,New York City,New York,10009,East,Office Supplies,3.28,Art,1,0,1.4104
Second Class,Corporate,United States,Decatur,Illinois,62521,Central,Office Supplies,24.816,Storage,2,0.2,1.8612
Second Class,Corporate,United States,Decatur,Illinois,62521,Central,Technology,408.744,Accessories,7,0.2,76.6395
Second Class,Home Office,United States,Monroe,Louisiana,71203,South,Technology,503.96,Phones,4,0,131.0296
Second Class,Home Office,United States,Monroe,Louisiana,71203,South,Technology,149.95,Phones,5,0,41.986
Second Class,Home Office,United States,Monroe,Louisiana,71203,South,Technology,29,Accessories,2,0,7.25
Standard Class,Consumer,United States,Fairfield,Connecticut,6824,East,Office Supplies,7.16,Binders,2,0,3.4368
Standard Class,Home Office,United States,Los Angeles,California,90032,West,Technology,176.8,Accessories,8,0,22.984
Standard Class,Corporate,United States,Grand Prairie,Texas,75051,Central,Office Supplies,37.224,Storage,3,0.2,3.7224
Standard Class,Corporate,United States,Grand Prairie,Texas,75051,Central,Office Supplies,20.016,Paper,3,0.2,6.255
First Class,Home Office,United States,New York City,New York,10035,East,Furniture,899.136,Bookcases,4,0.2,112.392
First Class,Home Office,United States,New York City,New York,10035,East,Technology,71.76,Phones,6,0,20.0928
First Class,Home Office,United States,New York City,New York,10035,East,Office Supplies,51.84,Paper,8,0,24.8832
First Class,Home Office,United States,New York City,New York,10035,East,Furniture,626.352,Bookcases,3,0.2,46.9764
First Class,Home Office,United States,New York City,New York,10035,East,Office Supplies,19.9,Art,5,0,6.567
Standard Class,Corporate,United States,Redlands,California,92374,West,Office Supplies,14.28,Envelopes,7,0,6.7116
Standard Class,Consumer,United States,Hamilton,Ohio,45011,East,Office Supplies,7.408,Art,2,0.2,1.2038
Standard Class,Consumer,United States,Hamilton,Ohio,45011,East,Office Supplies,6.048,Art,3,0.2,1.5876
Standard Class,Home Office,United States,Westfield,New Jersey,7090,East,Office Supplies,46.26,Storage,3,0,12.0276
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,2.946,Binders,2,0.7,-2.2586
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,16.056,Paper,3,0.2,5.8203
Standard Class,Consumer,United States,Akron,Ohio,44312,East,Office Supplies,21.744,Paper,3,0.2,6.795
First Class,Consumer,United States,Denver,Colorado,80219,West,Furniture,218.75,Tables,2,0.5,-161.875
First Class,Consumer,United States,Denver,Colorado,80219,West,Office Supplies,2.6,Appliances,1,0.2,0.2925
Second Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,66.284,Appliances,2,0.8,-178.9668
Standard Class,Corporate,United States,Franklin,Tennessee,37064,South,Furniture,35.168,Furnishings,7,0.2,9.6712
Standard Class,Consumer,United States,Whittier,California,90604,West,Technology,444.768,Phones,4,0.2,44.4768
Standard Class,Consumer,United States,Saginaw,Michigan,48601,Central,Office Supplies,83.92,Storage,4,0,5.8744
Standard Class,Consumer,United States,Saginaw,Michigan,48601,Central,Technology,131.98,Phones,2,0,35.6346
Standard Class,Consumer,United States,Saginaw,Michigan,48601,Central,Office Supplies,15.92,Binders,4,0,7.4824
Standard Class,Consumer,United States,Saginaw,Michigan,48601,Central,Office Supplies,52.29,Fasteners,9,0,16.2099
Standard Class,Consumer,United States,Saginaw,Michigan,48601,Central,Office Supplies,91.99,Storage,1,0,3.6796
Second Class,Corporate,United States,Dallas,Texas,75220,Central,Technology,20.8,Accessories,2,0.2,6.5
Standard Class,Corporate,United States,Medina,Ohio,44256,East,Office Supplies,23.68,Labels,2,0.2,8.88
Standard Class,Corporate,United States,Medina,Ohio,44256,East,Furniture,452.45,Bookcases,5,0.5,-244.323
Standard Class,Corporate,United States,Medina,Ohio,44256,East,Technology,62.982,Phones,3,0.4,-14.6958
Standard Class,Corporate,United States,Medina,Ohio,44256,East,Technology,1188,Machines,9,0.7,-950.4
Standard Class,Corporate,United States,Medina,Ohio,44256,East,Technology,89.584,Accessories,2,0.2,4.4792
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,93.06,Storage,6,0,26.0568
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,302.376,Phones,3,0.2,22.6782
First Class,Consumer,United States,Dublin,Ohio,43017,East,Office Supplies,5.584,Fasteners,2,0.2,1.8148
First Class,Consumer,United States,Dublin,Ohio,43017,East,Office Supplies,22.704,Paper,6,0.2,8.2302
First Class,Consumer,United States,Dublin,Ohio,43017,East,Office Supplies,19.776,Binders,4,0.7,-13.8432
First Class,Consumer,United States,Dublin,Ohio,43017,East,Furniture,72.704,Furnishings,4,0.2,19.0848
First Class,Consumer,United States,Dublin,Ohio,43017,East,Technology,479.988,Machines,4,0.7,-383.9904
First Class,Consumer,United States,Dublin,Ohio,43017,East,Office Supplies,27.168,Art,2,0.2,2.7168
Standard Class,Corporate,United States,Detroit,Michigan,48227,Central,Office Supplies,2.2,Art,1,0,0.968
Standard Class,Corporate,United States,Detroit,Michigan,48227,Central,Furniture,622.45,Tables,5,0,136.939
Standard Class,Corporate,United States,Detroit,Michigan,48227,Central,Office Supplies,21.98,Storage,1,0,0.2198
Standard Class,Consumer,United States,Columbia,Tennessee,38401,South,Furniture,161.568,Chairs,2,0.2,-28.2744
Standard Class,Consumer,United States,Columbia,Tennessee,38401,South,Furniture,389.696,Chairs,8,0.2,43.8408
Standard Class,Corporate,United States,Charlotte,North Carolina,28205,South,Office Supplies,18.648,Binders,7,0.7,-12.432
Standard Class,Home Office,United States,Tampa,Florida,33614,South,Furniture,233.86,Tables,2,0.45,-102.048
Standard Class,Home Office,United States,Tampa,Florida,33614,South,Furniture,620.6145,Tables,3,0.45,-248.2458
Standard Class,Home Office,United States,Tampa,Florida,33614,South,Office Supplies,5.328,Binders,2,0.7,-3.552
Standard Class,Home Office,United States,Tampa,Florida,33614,South,Furniture,258.072,Furnishings,3,0.2,0
Standard Class,Home Office,United States,Tampa,Florida,33614,South,Technology,617.976,Accessories,3,0.2,-7.7247
Standard Class,Corporate,United States,Santa Clara,California,95051,West,Office Supplies,10.56,Paper,2,0,4.752
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Office Supplies,25.92,Paper,5,0.2,9.396
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,419.68,Furnishings,5,0.6,-356.728
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,11.688,Furnishings,3,0.6,-4.6752
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Technology,31.984,Phones,2,0.2,11.1944
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,177.225,Tables,5,0.5,-120.513
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,4.044,Furnishings,3,0.6,-2.8308
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Office Supplies,7.408,Art,2,0.2,1.2038
Second Class,Home Office,United States,Lakeville,Minnesota,55044,Central,Furniture,2001.86,Chairs,7,0,580.5394
Second Class,Home Office,United States,Lakeville,Minnesota,55044,Central,Office Supplies,166.72,Storage,2,0,41.68
Second Class,Home Office,United States,Lakeville,Minnesota,55044,Central,Office Supplies,47.88,Paper,6,0,23.94
Second Class,Home Office,United States,Lakeville,Minnesota,55044,Central,Office Supplies,1503.25,Appliances,5,0,496.0725
Second Class,Home Office,United States,Lakeville,Minnesota,55044,Central,Office Supplies,25.92,Paper,4,0,12.4416
Second Class,Consumer,United States,San Francisco,California,94109,West,Furniture,321.568,Chairs,2,0.2,28.1372
Standard Class,Consumer,United States,San Diego,California,92037,West,Office Supplies,7.61,Paper,1,0,3.5767
Standard Class,Consumer,United States,San Diego,California,92037,West,Technology,3347.37,Accessories,13,0,636.0003
First Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,80.58,Storage,6,0,22.5624
First Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,361.92,Envelopes,4,0,162.864
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Furniture,12.132,Furnishings,9,0.6,-8.4924
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,82.368,Storage,2,0.2,-19.5624
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,53.92,Storage,5,0.2,4.044
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Technology,647.904,Phones,6,0.2,56.6916
Second Class,Consumer,United States,New York City,New York,10009,East,Technology,20.37,Accessories,3,0,6.9258
Second Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,221.55,Storage,3,0,6.6465
Second Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,17.52,Binders,5,0.2,6.132
